               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048207,            0.019362,            0.022295,             0.81199,             0.89883,             0.86066,             0.60924,            0.021419,            0.012509,           0.0064753,            0.070007,           0.0033326,           0.0033326
                   1,            0.032085,            0.013292,           0.0063019,             0.94428,             0.93401,             0.96695,              0.7357,             0.01718,            0.010024,           0.0038316,            0.039787,           0.0064459,           0.0064459
                   2,            0.026159,             0.01155,           0.0049325,             0.94337,             0.94956,             0.97778,             0.78072,            0.015115,           0.0088497,           0.0032613,           0.0093468,           0.0093393,           0.0093393
                   3,            0.020948,            0.010208,           0.0043533,             0.95043,             0.94288,             0.97902,             0.79463,            0.014328,           0.0083636,           0.0028568,             0.00901,             0.00901,             0.00901
                   4,            0.018339,           0.0093397,           0.0037504,             0.94315,              0.9539,             0.98041,             0.80698,            0.013915,           0.0081484,           0.0026239,             0.00901,             0.00901,             0.00901
                   5,            0.016892,           0.0088436,           0.0033906,             0.94772,             0.95459,             0.98144,             0.82106,            0.013223,            0.007896,           0.0024498,             0.00868,             0.00868,             0.00868
                   6,            0.016072,           0.0085336,           0.0032112,             0.95187,             0.95128,              0.9818,             0.81855,              0.0134,           0.0079021,           0.0023654,             0.00835,             0.00835,             0.00835
                   7,              0.0154,           0.0082765,           0.0030854,             0.94952,             0.95487,             0.98226,             0.82089,            0.013216,           0.0077921,           0.0023065,             0.00802,             0.00802,             0.00802
                   8,            0.014886,           0.0081151,           0.0029913,             0.95627,             0.95152,             0.98203,             0.81992,            0.013156,           0.0077689,           0.0022521,             0.00769,             0.00769,             0.00769
                   9,            0.014487,           0.0079503,           0.0029141,             0.95406,             0.95157,             0.98203,             0.82017,            0.013039,           0.0077609,           0.0022458,             0.00736,             0.00736,             0.00736
                  10,            0.014187,           0.0078474,           0.0028564,             0.95024,             0.95653,             0.98211,             0.82159,            0.013018,           0.0077787,           0.0021981,             0.00703,             0.00703,             0.00703
                  11,            0.013875,           0.0077397,           0.0027595,             0.95421,             0.95458,             0.98248,             0.82368,            0.012941,           0.0077523,           0.0021376,              0.0067,              0.0067,              0.0067
                  12,            0.013574,           0.0075935,           0.0027417,             0.95367,             0.95563,             0.98254,              0.8238,            0.012963,           0.0077669,           0.0021243,             0.00637,             0.00637,             0.00637
                  13,            0.013368,           0.0075586,           0.0026221,              0.9524,             0.95554,             0.98271,             0.82445,            0.012942,            0.007776,            0.002099,             0.00604,             0.00604,             0.00604
                  14,            0.013102,             0.00749,           0.0025455,             0.95312,             0.95432,             0.98273,             0.82442,            0.012893,           0.0077598,           0.0020858,             0.00571,             0.00571,             0.00571
                  15,            0.012836,           0.0073305,           0.0024447,              0.9531,              0.9547,             0.98285,             0.82417,            0.012897,           0.0077612,           0.0020832,             0.00538,             0.00538,             0.00538
                  16,            0.012632,           0.0072723,           0.0024107,             0.95453,             0.95378,             0.98276,             0.82446,            0.012885,           0.0077509,           0.0020731,             0.00505,             0.00505,             0.00505
                  17,            0.012415,           0.0072042,           0.0024212,             0.95375,             0.95432,             0.98271,             0.82524,             0.01286,           0.0077376,           0.0020647,             0.00472,             0.00472,             0.00472
                  18,            0.012259,           0.0071139,           0.0023397,             0.95282,              0.9561,             0.98287,             0.82584,            0.012857,           0.0077409,           0.0020521,             0.00439,             0.00439,             0.00439
                  19,            0.011983,           0.0070086,           0.0022706,             0.95227,             0.95516,             0.98293,             0.82631,             0.01285,           0.0077356,           0.0020401,             0.00406,             0.00406,             0.00406
                  20,            0.011821,           0.0069574,           0.0021861,             0.95178,              0.9559,             0.98296,             0.82685,            0.012848,           0.0077298,           0.0020357,             0.00373,             0.00373,             0.00373
                  21,              0.0116,           0.0068819,           0.0021409,             0.95306,             0.95479,             0.98302,             0.82701,             0.01284,           0.0077186,           0.0020299,              0.0034,              0.0034,              0.0034
                  22,            0.011382,           0.0067688,           0.0020568,             0.95297,              0.9541,             0.98317,             0.82732,            0.012822,           0.0077106,           0.0020235,             0.00307,             0.00307,             0.00307
                  23,            0.011163,           0.0067164,           0.0019772,             0.95247,             0.95453,             0.98318,             0.82789,            0.012807,           0.0077025,           0.0020176,             0.00274,             0.00274,             0.00274
                  24,            0.010936,           0.0066135,           0.0018942,             0.95234,             0.95403,             0.98327,             0.82827,            0.012789,            0.007695,           0.0020044,             0.00241,             0.00241,             0.00241
                  25,            0.010732,           0.0065213,           0.0018464,             0.95294,             0.95347,              0.9834,             0.82897,            0.012767,           0.0076868,           0.0019783,             0.00208,             0.00208,             0.00208
                  26,            0.010502,           0.0064566,           0.0017383,             0.95451,             0.95234,              0.9835,             0.82958,            0.012749,           0.0076785,            0.001967,             0.00175,             0.00175,             0.00175
                  27,            0.010328,           0.0063544,           0.0017474,             0.95509,             0.95215,             0.98359,             0.82998,            0.012723,           0.0076669,           0.0019429,             0.00142,             0.00142,             0.00142
                  28,            0.010095,           0.0062874,           0.0015588,             0.95582,             0.95208,             0.98371,             0.83046,            0.012698,           0.0076572,           0.0019253,             0.00109,             0.00109,             0.00109
                  29,           0.0098868,           0.0062078,           0.0014981,             0.95565,             0.95266,             0.98378,             0.83144,            0.012677,           0.0076491,           0.0019107,             0.00076,             0.00076,             0.00076
